Name,Category,Investment Horizon,NAV,Date,NAV_Category
Aditya Birla Sun Life Quant Fund - Regular Growth,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.83,"Thu, 24 Oct 2024 00:00:00",Low
UTI FTIF SERIES XXVIII - PLAN V (1190 DAYS) - Direct Plan - Annual IDCW,Income,Short-Term Schemes,9.8238,"Thu, 15 Apr 2021 00:00:00",Low
UTI FTIF SERIES XXVIII - PLAN V (1190 DAYS) - Direct Plan - Quarterly IDCW,Income,Short-Term Schemes,9.8237,"Thu, 15 Apr 2021 00:00:00",Low
UTI FTIF SERIES XXVIII - PLAN V (1190 DAYS) - Regular Plan - Annual IDCW,Income,Short-Term Schemes,9.8217,"Thu, 15 Apr 2021 00:00:00",Low
UTI FTIF SERIES XXVIII - PLAN V (1190 DAYS) - Regular Plan - Quarterly IDCW,Income,Short-Term Schemes,9.8216,"Thu, 15 Apr 2021 00:00:00",Low
UTI FTIF SERIES XXVIII - PLAN VII (1169 DAYS) - Direct Plan - Annual IDCW,Income,Short-Term Schemes,9.8205,"Thu, 15 Apr 2021 00:00:00",Low
UTI FTIF SERIES XXVIII - PLAN VII (1169 DAYS) - Direct Plan - Quarterly IDCW,Income,Short-Term Schemes,9.8204,"Thu, 15 Apr 2021 00:00:00",Low
Bank of India Business Cycle Fund - Regular Plan - Dividend,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.82,"Fri, 25 Oct 2024 00:00:00",Low
Bank of India Business Cycle Fund - Regular Plan - Growth,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.82,"Fri, 25 Oct 2024 00:00:00",Low
UTI FTIF SERIES XXVIII - PLAN VII (1169 DAYS) - Regular Plan - Annual IDCW,Income,Short-Term Schemes,9.8183,"Thu, 15 Apr 2021 00:00:00",Low
UTI FTIF SERIES XXVIII - PLAN VII (1169 DAYS) - Regular Plan - Quarterly IDCW,Income,Short-Term Schemes,9.8181,"Thu, 15 Apr 2021 00:00:00",Low
Bandhan Nifty Total Market Index Fund - Direct Plan - Growth,Other Scheme - Index Funds,Long-Term Schemes,9.8026,"Fri, 25 Oct 2024 00:00:00",Low
UTI FTIF Series XXVII-IX (1160 Days) - Direct Plan - Quarterly Div Option,Income,Short-Term Schemes,9.8003,"Tue, 24 Nov 2020 00:00:00",Low
UTI FTIF SERIES XXVIII - PLAN II (1210 DAYS) - Direct Plan - Annual IDCW,Income,Short-Term Schemes,9.794,"Tue, 06 Apr 2021 00:00:00",Low
UTI FTIF SERIES XXVIII - PLAN II (1210 DAYS) - Direct Plan - Quarterly IDCW,Income,Short-Term Schemes,9.7939,"Tue, 06 Apr 2021 00:00:00",Low
UTI FTIF SERIES XXVIII - PLAN II (1210 DAYS) - Regular Plan - Quarterly IDCW,Income,Short-Term Schemes,9.7927,"Tue, 06 Apr 2021 00:00:00",Low
UTI FTIF SERIES XXVIII - PLAN II (1210 DAYS) - Regular Plan - Annual IDCW,Income,Short-Term Schemes,9.7927,"Tue, 06 Apr 2021 00:00:00",Low
Bandhan Nifty Total Market Index Fund - Regular Plan - Growth,Other Scheme - Index Funds,Long-Term Schemes,9.7834,"Fri, 25 Oct 2024 00:00:00",Low
UTI FTIF SERIES XXVIII - PLAN I (1230 DAYS) - Direct Plan - Annual IDCW,Income,Short-Term Schemes,9.7829,"Tue, 06 Apr 2021 00:00:00",Low
UTI FTIF SERIES XXVIII - PLAN I (1230 DAYS) - Direct Plan - Quarterly IDCW,Income,Short-Term Schemes,9.7828,"Tue, 06 Apr 2021 00:00:00",Low
UTI FTIF SERIES XXVIII - PLAN I (1230 DAYS) - Regular Plan - Annual IDCW,Income,Short-Term Schemes,9.7817,"Tue, 06 Apr 2021 00:00:00",Low
UTI FTIF SERIES XXVIII - PLAN I (1230 DAYS) - Regular Plan - Quarterly IDCW,Income,Short-Term Schemes,9.7816,"Tue, 06 Apr 2021 00:00:00",Low
Kotak World Gold Fund- Direct Plan- Dividend Option,Other Scheme - FoF Overseas,Long-Term Schemes,9.78,"Tue, 25 Feb 2020 00:00:00",Low
Kotak Special Opportunities Fund - Direct Plan - Growth Option,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.761,"Fri, 25 Oct 2024 00:00:00",Low
Kotak Special Opportunities Fund - Direct Plan - IDCW Payout Option,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.761,"Fri, 25 Oct 2024 00:00:00",Low
BAJAJ FINSERV LARGE CAP FUND - DIRECT PLAN - GROWTH,Equity Scheme - Large Cap Fund,Long-Term Schemes,9.759,"Fri, 25 Oct 2024 00:00:00",Low
BAJAJ FINSERV LARGE CAP FUND - DIRECT PLAN - IDCW,Equity Scheme - Large Cap Fund,Long-Term Schemes,9.759,"Fri, 25 Oct 2024 00:00:00",Low
Invesco India Technology Fund - Direct - Growth,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.75,"Fri, 25 Oct 2024 00:00:00",Low
Invesco India Technology Fund - Direct - IDCW,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.75,"Fri, 25 Oct 2024 00:00:00",Low
Axis Nifty 500 Index Fund - Direct Plan - Growth Option,Other Scheme - Index Funds,Long-Term Schemes,9.7438,"Fri, 25 Oct 2024 00:00:00",Low
Invesco India Technology Fund - Regular - Growth,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.74,"Fri, 25 Oct 2024 00:00:00",Low
Invesco India Technology Fund - Regular - IDCW,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.74,"Fri, 25 Oct 2024 00:00:00",Low
UTI Fixed Term Income fund - Series XXIX - II (1118 DAYS) - Direct Plan - Annual IDCW,Income,Short-Term Schemes,9.736,"Tue, 25 May 2021 00:00:00",Low
UTI Fixed Term Income fund - Series XXIX - II (1118 DAYS) - Direct Plan - Quarterly IDCW,Income,Short-Term Schemes,9.7357,"Tue, 25 May 2021 00:00:00",Low
UTI Credit Risk Fund - Regular Plan - Monthly IDCW,Debt Scheme - Credit Risk Fund,Short-Term Schemes,9.7332,"Fri, 25 Oct 2024 00:00:00",Low
BAJAJ FINSERV LARGE CAP FUND - REGULAR PLAN - GROWTH,Equity Scheme - Large Cap Fund,Long-Term Schemes,9.731,"Fri, 25 Oct 2024 00:00:00",Low
BAJAJ FINSERV LARGE CAP FUND - REGULAR PLAN - IDCW,Equity Scheme - Large Cap Fund,Long-Term Schemes,9.731,"Fri, 25 Oct 2024 00:00:00",Low
UTI Fixed Term Income fund - Series XXIX - II (1118 DAYS) - Regular Plan - Annual IDCW,Income,Short-Term Schemes,9.73,"Tue, 25 May 2021 00:00:00",Low
UTI Fixed Term Income fund - Series XXIX - II (1118 DAYS) - Regular Plan - Quarterly IDCW,Income,Short-Term Schemes,9.7298,"Tue, 25 May 2021 00:00:00",Low
Axis Nifty 500 Index Fund - Regular Plan - Growth Option,Other Scheme - Index Funds,Long-Term Schemes,9.7184,"Fri, 25 Oct 2024 00:00:00",Low
Kotak Special Opportunities Fund - Regular Plan - Growth Option,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.717,"Fri, 25 Oct 2024 00:00:00",Low
Kotak Special Opportunities Fund - Regular Plan - IDCW Option,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.717,"Fri, 25 Oct 2024 00:00:00",Low
Mirae AssetHang Seng TECH ETF Fund of Fund Direct Plan - Growth Option,Other Scheme - FoF Domestic,Long-Term Schemes,9.717,"Fri, 25 Oct 2024 00:00:00",Low
LIC MF Manufacturing Fund-Direct Plan-IDCW,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.7164,"Fri, 25 Oct 2024 00:00:00",Low
LIC MF Manufacturing Fund-Direct Plan-Growth,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.7164,"Fri, 25 Oct 2024 00:00:00",Low
SBI Innovative Opportunities Fund - Direct Plan - Income Distribution Cum Capital Withdrawal Option,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.7152,"Fri, 25 Oct 2024 00:00:00",Low
SBI Innovative Opportunities Fund - Direct Plan - Growth,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.7151,"Fri, 25 Oct 2024 00:00:00",Low
LIC MF Manufacturing Fund-Regular Plan-IDCW,Equity Scheme - Sectoral/ Thematic,Long-Term Schemes,9.7097,"Fri, 25 Oct 2024 00:00:00",Low
